draw,rho,decay_mi,beta_ms,beta_low_income,beta_swd,beta_absent,p_max,gifted_propensity,scale
120,0.8500000000000001,4.015665436561243,0.11515744157980082,0.381482142036958,4.944391599063589,0.039535675637382584,0.95,0.9169552393006856,0.8869383920304935
121,0.8500000000000001,3.934805778416653,0.10575495688027287,0.3467912924103493,5.918772504304846,0.04917322561652773,0.95,0.9172059131079912,0.8922258367128649
122,0.8500000000000001,5.316867276967242,0.05553441250411963,0.36080570151893754,4.73490787179531,0.06762369256727618,0.95,0.9144143166475647,0.8213684278747663
123,0.8500000000000001,4.512046849706543,0.08533956266208646,0.271206199693831,5.578660356038756,0.0691320455655705,0.95,0.9168000537703976,0.855781507210017
124,0.8500000000000001,4.663258151485121,0.04330268231807167,0.39058502453052507,6.919149186407539,-0.012716297672304182,0.95,0.9127911170430579,0.8456517872806705
125,0.8500000000000001,3.034443220422029,0.0928277792323022,0.3763807362106763,7.134044013484874,0.08840849546273306,0.95,0.9168387821213393,0.9781247401782787
126,0.8500000000000001,4.025480694262581,0.16043986236574853,0.36721067652046474,6.489376596689773,0.06861295744866654,0.95,0.9200543952510464,0.8872972014749946
127,0.8500000000000001,4.407756976393539,0.174705189028208,0.3078738604387431,5.39062459017297,0.11322437993749652,0.95,0.9190837266049235,0.8629183748052228
128,0.8500000000000001,4.110995976082044,0.11731720835662059,0.2559074997565813,3.1563159119789965,0.03054210836819897,0.95,0.9190821757749855,0.884524312148546
129,0.8500000000000001,2.8264626106599438,0.19830598809776068,0.21922673306563611,6.483083321246335,0.02270710928163978,0.95,0.9174666407774877,1.005015263651205
130,0.8500000000000001,4.987909530829581,0.08667342167712278,0.31585330809510387,6.158791572377347,0.05769791391601518,0.95,0.9205200880193932,0.8402587745648454
131,0.8500000000000001,4.918641383923201,0.09423268718407628,0.3419631015222875,5.268361273503119,0.08290442844664522,0.95,0.9179647404082785,0.8374059255124328
132,0.8500000000000001,5.436470128427437,0.06624452642057865,0.3835059837743674,7.260070910489561,0.12661377527494214,0.95,0.9145607541652486,0.8189319228850384
133,0.8500000000000001,5.984105556371552,0.04288031209246398,0.2922954732933002,5.639753381306467,0.16370598927830834,0.95,0.9173422953457507,0.801891165824686
134,0.8500000000000001,4.969191463370507,0.17318604238957439,0.35641746527129503,5.747950364141314,0.03631979556521663,0.95,0.9181091476207178,0.8375622935480888
135,0.8500000000000001,4.41851610297657,0.026927357653872157,0.34266956593676795,7.3999309767620565,0.04676337205642665,0.95,0.9212301055945983,0.8610479436029407
136,0.8500000000000001,4.317867046041184,0.05967032741999386,0.26923098959290176,4.681891940627586,0.013919835439046943,0.95,0.9151798031866885,0.8677838991229762
137,0.8500000000000001,4.909980544043824,0.17840621579268892,0.3065253322801048,6.303225999089144,0.08361407956398265,0.95,0.9200770978161362,0.8399878439601672
138,0.8500000000000001,4.551379300208734,0.14620549310130534,0.28731432476447816,6.263206961216152,0.02605551993016135,0.95,0.9206854507446014,0.857320039503706
139,0.8500000000000001,4.426770039591368,0.13360935871997506,0.3345246542282114,6.156717313780432,0.07088452891679357,0.95,0.9198367727153982,0.8641270436372466
140,0.8500000000000001,5.663415194148863,0.1219473615941861,0.26804025194555414,5.142604884415486,0.032067372437941444,0.95,0.9146590209373968,0.8098143397095199
141,0.8500000000000001,5.13405298028712,0.082744959036602,0.2845518938093719,4.166876436914742,0.0580331845025327,0.95,0.9215356237691188,0.8294849218212109
142,0.8500000000000001,3.8982599448434025,0.191132359806449,0.3127735362501151,5.255822913418222,0.006107021208235982,0.95,0.9156378278202981,0.8966034286630554
143,0.8500000000000001,4.923024257072133,0.08896054127962787,0.18130254546139316,5.783940381712176,-0.00048339813473083154,0.95,0.9210177151611934,0.8412509194017525
144,0.8500000000000001,2.735064134337418,0.17047821226039425,0.37312554187519364,6.438388441279831,0.013417884825863476,0.95,0.9199210975413593,1.0158730744749502
145,0.8500000000000001,5.119318993940497,0.19612783332632597,0.3095496796757577,6.5000507818984286,0.11414851398432978,0.95,0.9193132788236715,0.8283027436580054
146,0.8500000000000001,6.55511721428808,0.050062567411019075,0.21873728237528506,6.238928884009685,0.14357819236258335,0.95,0.9199888213251767,0.7893036999489217
147,0.8500000000000001,7.536425778325745,0.07614570387330746,0.2291008585050608,7.467529715916835,0.05127645214252506,0.95,0.920168203438584,0.7700899214112272
148,0.8500000000000001,3.633263888535722,0.09097489064253862,0.2564975755998883,5.446543623417288,0.007865798565714096,0.95,0.9145202600693566,0.9168732019810354
149,0.8500000000000001,5.011529375998217,0.09274130514524755,0.3054164051378675,4.36652029005738,0.07056613558304084,0.95,0.919309651088977,0.8381139558620228
150,0.8500000000000001,4.305194793243652,0.11365532941198189,0.2639261889746693,3.653664504093362,0.12538628333664112,0.95,0.9168209923504508,0.8721570731378
151,0.8500000000000001,3.913262417111374,0.15559992912146964,0.2972493248417667,6.779162117483116,0.07176079428679763,0.95,0.918732994868663,0.8921036112361316
152,0.8500000000000001,5.498649099140853,0.09383346948030712,0.24995866850756038,5.505961547840226,0.11934250202199373,0.95,0.9177823262454875,0.8132076041234351
