draw,school_id,program,base_eligible,base_riders,scen_eligible,scen_riders
2,268,basic,104.715,99.479,80.119,76.113
2,269,basic,103.237,96.25,60.407,55.561
2,270,basic,151.643,112.569,83.687,51.488
2,272,basic,44.653,41.809,16.006,14.594
2,275,basic,94.144,88.558,77.084,72.351
2,276,basic,150.783,78.394,104.05,51.591
2,277,basic,130.173,96.052,61.096,42.365
2,279,basic,105.603,50.677,29.051,12.158
2,281,basic,65.784,49.757,9.711,5.842
2,282,basic,78.41,66.55,24.61,16.93
2,286,basic,176.438,107.925,124.632,60.075
2,287,gifted,190.0,191.934,114.214,115.377
2,288,basic,184.373,160.941,125.94,105.429
2,289,basic,107.553,93.086,63.161,51.18
2,291,basic,362.706,244.662,287.577,173.044
2,292,basic,500.135,298.79,208.287,99.609
2,930,basic,398.97,342.328,398.083,341.485
2,935,basic,435.441,308.206,304.251,184.976
2,939,basic,151.628,67.235,94.355,33.038
2,949,basic,377.703,312.321,244.609,185.96
2,955,basic,44.867,42.614,32.233,30.612
2,971,gifted,516.421,521.678,502.477,507.592
2,972,basic,262.112,196.309,227.55,163.593
2,974,basic,85.455,77.273,65.234,58.063
2,977,basic,239.515,194.755,153.017,114.615
3,103,basic,273.418,236.12,273.418,236.12
3,104,basic,144.815,59.304,144.815,59.304
3,105,basic,460.791,219.146,460.791,219.146
3,105,gifted,138.843,140.501,138.843,140.501
3,106,basic,446.707,277.295,446.707,277.295
3,106,gifted,87.727,88.774,87.727,88.774
3,107,basic,510.282,247.677,510.282,247.677
3,109,basic,146.536,92.892,146.536,92.892
3,110,basic,389.748,207.799,389.748,207.799
3,113,basic,385.623,230.884,385.623,230.884
3,113,gifted,112.672,114.017,112.672,114.017
3,115,basic,139.096,82.309,139.096,82.309
3,117,basic,256.417,152.581,256.417,152.581
3,117,gifted,49.294,49.882,49.294,49.882
3,118,basic,265.879,138.854,265.879,138.854
3,130,basic,667.889,390.722,667.889,390.722
3,201,basic,79.507,56.926,27.142,15.375
3,202,basic,168.953,91.314,134.645,66.66
3,203,basic,248.958,180.624,185.004,128.902
