school_year,class_of,_source_id,_source_table,section_code,item_code,item_label,item_value,coefficient,calculated_value,amount,running_total
2020-2021,2021,5899,stars_operations_allocation,A,non_high_yes,Non-High Yes,,0.0,0.0,,
2020-2021,2021,5899,stars_operations_allocation,A,non_high_no,Non-High No,,-0.272,0.0,,
2020-2021,2021,5899,stars_operations_allocation,A,a1_sum_calculated_values,A.1. Sum of Calculated Values,,,7.84741,,
2020-2021,2021,5899,stars_operations_allocation,A,a2_expected_allocation_constant,A.2. Expected Allocation Constant Value,,,7.798,,
2020-2021,2021,5899,stars_operations_allocation,A,a3_expected_allocation_value,A.3. Expected Allocation Value,,,15.64541,,
2020-2021,2021,5899,stars_operations_allocation,A,a4_initial_allocation,A.4. Initial Allocation,,,,6233286.57,
2020-2021,2021,5899,stars_operations_allocation,A,a5_local_characteristics_factor,A.5. Local Characteristics Factor,,,1.0,,
2020-2021,2021,5899,stars_operations_allocation,A,a6_calculated_expected_allocation,A.6. CALCULATED EXPECTED ALLOCATION,,,,6233286.57,
2020-2021,2021,5899,stars_operations_allocation,B,b1_non_high,B.1. Non-High,,,,0.0,
2020-2021,2021,5899,stars_operations_allocation,B,b2_low_ridership,B.2. Low Ridership,,,,0.0,
2020-2021,2021,5899,stars_operations_allocation,B,b3_transportation_coop,B.3. Transportation Co-op,,,,0.0,
2020-2021,2021,5899,stars_operations_allocation,B,b4_esd,B.4. ESD,,,,0.0,
2020-2021,2021,5899,stars_operations_allocation,B,b5_other,B.5. Other,,,,0.0,
2020-2021,2021,5899,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,6233286.57
2020-2021,2021,5899,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,6233286.57
2020-2021,2021,5899,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,0.0,
2020-2021,2021,5899,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,0.0,6233286.57
2020-2021,2021,5899,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,6233286.57,
2020-2021,2021,5899,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,33064730.14,
2020-2021,2021,5899,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,1074603.73,
2020-2021,2021,5899,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,34139333.87,
2020-2021,2021,5899,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,6233286.57,
2020-2021,2021,5899,stars_operations_allocation,D,d6_legislative_salary,D.6. Legislative Salary,,,,1021768.46,
2020-2021,2021,5899,stars_operations_allocation,D,d7_legislative_benefit,D.7. Legislative Benefit,,,,0.0,
2020-2021,2021,5899,stars_operations_allocation,D,d8_actual_allocation_amount,D.8. ACTUAL ALLOCATION AMOUNT,,,,7255055.03,
2021-2022,2022,7175,stars_operations_allocation,A,land_area,Land Area (Ln),85.5,-0.16829,-0.74863,,
2021-2022,2022,7175,stars_operations_allocation,A,average_distance,Average Distance,2.23076,0.03802,0.08481,,
2021-2022,2022,7175,stars_operations_allocation,A,destinations,Destinations,94.0,0.02009,1.88846,,
2021-2022,2022,7175,stars_operations_allocation,A,basic_program,Basic Program (Ln),10920.5,0.39364,3.66026,,
2021-2022,2022,7175,stars_operations_allocation,A,special_program,Special Program (Ln),2239.88,0.30301,2.33761,,
2021-2022,2022,7175,stars_operations_allocation,A,non_high_yes,Non-High Yes,,-0.27974,0.0,,
2021-2022,2022,7175,stars_operations_allocation,A,non_high_no,Non-High No,,-0.6408,0.0,,
2021-2022,2022,7175,stars_operations_allocation,A,a1_sum_calculated_values,A.1. Sum of Calculated Values,,,7.22251,,
2021-2022,2022,7175,stars_operations_allocation,A,a2_expected_allocation_constant,A.2. Expected Allocation Constant Value,,,10.57936,,
2021-2022,2022,7175,stars_operations_allocation,A,a3_expected_allocation_value,A.3. Expected Allocation Value,,,17.80187,,
2021-2022,2022,7175,stars_operations_allocation,A,a4_initial_allocation,A.4. Initial Allocation,,,,53858344.89,
2021-2022,2022,7175,stars_operations_allocation,A,a5_local_characteristics_factor,A.5. Local Characteristics Factor,,,1.0,,
2021-2022,2022,7175,stars_operations_allocation,A,a6_calculated_expected_allocation,A.6. CALCULATED EXPECTED ALLOCATION,,,,53858344.89,
2021-2022,2022,7175,stars_operations_allocation,B,b1_non_high,B.1. Non-High,,,,0.0,
2021-2022,2022,7175,stars_operations_allocation,B,b2_low_ridership,B.2. Low Ridership,,,,0.0,
2021-2022,2022,7175,stars_operations_allocation,B,b3_transportation_coop,B.3. Transportation Co-op,,,,0.0,
2021-2022,2022,7175,stars_operations_allocation,B,b4_esd,B.4. ESD,,,,0.0,
2021-2022,2022,7175,stars_operations_allocation,B,b5_other,B.5. Other,,,,0.0,
2021-2022,2022,7175,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,53858344.89
2021-2022,2022,7175,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,53858344.89
2021-2022,2022,7175,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,0.0,
2021-2022,2022,7175,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,0.0,53858344.89
2021-2022,2022,7175,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,53858344.89,
2021-2022,2022,7175,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,18278833.9,
2021-2022,2022,7175,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,963294.55,
2021-2022,2022,7175,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,19242128.45,
2021-2022,2022,7175,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,19242128.45,
2021-2022,2022,7175,stars_operations_allocation,D,d6_legislative_salary,D.6. Legislative Salary,,,,805038.17,
2021-2022,2022,7175,stars_operations_allocation,D,d7_legislative_benefit,D.7. Legislative Benefit,,,,0.0,
2021-2022,2022,7175,stars_operations_allocation,D,d8_actual_allocation_amount,D.8. ACTUAL ALLOCATION AMOUNT,,,,20047166.61,
2022-2023,2023,9120,stars_operations_allocation,A,land_area,Land Area (Ln),85.5,0.034,0.15125,,
2022-2023,2023,9120,stars_operations_allocation,A,average_distance,Average Distance,2.17538,0.043,0.09354,,
2022-2023,2023,9120,stars_operations_allocation,A,destinations,Destinations,101.25,0.013,1.31625,,
2022-2023,2023,9120,stars_operations_allocation,A,basic_program,Basic Program (Ln),11086.5,0.704,6.55676,,
2022-2023,2023,9120,stars_operations_allocation,A,special_program,Special Program (Ln),3066.13,0.097,0.77876,,
2022-2023,2023,9120,stars_operations_allocation,A,non_high_yes,Non-High Yes,,0.0,0.0,,
2022-2023,2023,9120,stars_operations_allocation,A,non_high_no,Non-High No,,-0.288,0.0,,
2022-2023,2023,9120,stars_operations_allocation,A,a1_sum_calculated_values,A.1. Sum of Calculated Values,,,8.89656,,
2022-2023,2023,9120,stars_operations_allocation,A,a2_expected_allocation_constant,A.2. Expected Allocation Constant Value,,,8.202,,
2022-2023,2023,9120,stars_operations_allocation,A,a3_expected_allocation_value,A.3. Expected Allocation Value,,,17.09856,,
2022-2023,2023,9120,stars_operations_allocation,A,a4_initial_allocation,A.4. Initial Allocation,,,,26656902.14,
2022-2023,2023,9120,stars_operations_allocation,A,a5_local_characteristics_factor,A.5. Local Characteristics Factor,,,1.0,,
2022-2023,2023,9120,stars_operations_allocation,A,a6_calculated_expected_allocation,A.6. CALCULATED EXPECTED ALLOCATION,,,,26656902.13,
2022-2023,2023,9120,stars_operations_allocation,B,b1_non_high,B.1. Non-High,,,,0.0,
2022-2023,2023,9120,stars_operations_allocation,B,b2_low_ridership,B.2. Low Ridership,,,,0.0,
2022-2023,2023,9120,stars_operations_allocation,B,b3_transportation_coop,B.3. Transportation Co-op,,,,0.0,
2022-2023,2023,9120,stars_operations_allocation,B,b4_esd,B.4. ESD,,,,0.0,
2022-2023,2023,9120,stars_operations_allocation,B,b5_other,B.5. Other,,,,0.0,
2022-2023,2023,9120,stars_operations_allocation,B,b6_alternate_system_total,B.6. Alternate System Total,,,,0.0,26656902.13
2022-2023,2023,9120,stars_operations_allocation,C,c1_alt_calendar_modifier,C.1. Alt Calendar Modifier,,1.0,,,26656902.13
2022-2023,2023,9120,stars_operations_allocation,C,c2_car_mileage_reimbursement,C.2. Car Mileage Reimbursement,,,,62.5,
2022-2023,2023,9120,stars_operations_allocation,C,c3_other_adjustments_total,C.3. Other Adjustments Total,,,,62.5,26656964.63
2022-2023,2023,9120,stars_operations_allocation,D,d1_adjusted_allocation,D.1. Adjusted Allocation,,,,26656964.63,
2022-2023,2023,9120,stars_operations_allocation,D,d2_prior_year_expenditures,D.2. Prior Year Expenditures,,,,35074443.39,
2022-2023,2023,9120,stars_operations_allocation,D,d3_federal_restricted_rate_indirects,D.3. Federal Restricted Rate Indirects,,,,1634469.06,
2022-2023,2023,9120,stars_operations_allocation,D,d4_adjusted_prior_year_expenditures,D.4. Adjusted Prior Year Expenditures,,,,36708912.45,
2022-2023,2023,9120,stars_operations_allocation,D,d5_lesser_of_adjusted_or_prior_year,D.5. Lesser of Adjusted Allocation or Adjusted Prior Year Expenditures,,,,26656964.63,
2022-2023,2023,9120,stars_operations_allocation,D,d6_legislative_salary,D.6. Legislative Salary,,,,1587257.19,
2022-2023,2023,9120,stars_operations_allocation,D,d7_legislative_benefit,D.7. Legislative Benefit,,,,0.0,
2022-2023,2023,9120,stars_operations_allocation,D,d8_actual_allocation_amount,D.8. ACTUAL ALLOCATION AMOUNT,,,,28244221.82,
2023-2024,2024,11127,stars_operations_allocation,A,land_area,Land Area (Ln),85.5,0.04374,0.19458,,
2023-2024,2024,11127,stars_operations_allocation,A,average_distance,Average Distance,2.16553,0.04259,0.09223,,
2023-2024,2024,11127,stars_operations_allocation,A,destinations,Destinations,102.625,0.01627,1.66971,,
2023-2024,2024,11127,stars_operations_allocation,A,basic_program,Basic Program (Ln),9050.63,0.67012,6.10526,,
2023-2024,2024,11127,stars_operations_allocation,A,special_program,Special Program (Ln),3673.63,0.11381,0.93429,,
2023-2024,2024,11127,stars_operations_allocation,A,non_high_yes,Non-High Yes,,0.0,0.0,,
